ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{c7695c88-95b3-446b-8acd-afef79665512}\" DisplayName=\"sourceTerm\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Text\" />","<Field ID=\"{9b6f3e7a-53f7-4ca2-b5ce-5236561849fe}\" DisplayName=\"preferredTerm\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Note\" />","<Field ID=\"{8761f7d0-01fa-45f5-b818-d62940dea9ba}\" DisplayName=\"acronym\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Text\" />","<Field ID=\"{faa5e1bf-4df3-45b3-b1af-66b07665094e}\" DisplayName=\"firstUseExpand\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{14cac9f0-220a-4c50-971a-169e127d530c}\" DisplayName=\"matchStrategy\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{74fbf0d9-0693-4a72-93e7-f556e2e19be8}\" DisplayName=\"terminologyToAvoid\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{4a1bd687-0aa7-4224-aaba-758eafb138db}\" DisplayName=\"sourceReference\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" />","<Field ID=\"{eb01a8ee-0285-4bf2-8f35-5e0b8eadc37d}\" DisplayName=\"isActive\" Name=\"field_8\" StaticName=\"field_8\" Type=\"Text\" />","<Field ID=\"{de681fcf-e3a6-4d81-93aa-dcfc31c25d98}\" DisplayName=\"version\" Name=\"field_9\" StaticName=\"field_9\" Type=\"Text\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"domain\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"domain","sourceTerm","preferredTerm","acronym","firstUseExpand","matchStrategy","terminologyToAvoid","sourceReference","isActive","version"
"Obesity","Obesity","Obesity",,"FALSE","whole_word","Do not abbreviate",,"TRUE","7.0 (Jan 2024)"
"Obesity","Overweight","Overweight",,"FALSE","whole_word","Do not abbreviate",,"TRUE","7.0 (Jan 2024)"
"Obesity","Person living with overweight or obesity","Person/people with overweight",,"FALSE","whole_word","Patient; Obese/overweight person; Obese/overweight patient; Fat (unless in the context of body fat)","Kyle & Puhl, 2014","TRUE","7.0 (Jan 2024)"
"Obesity","Person living with overweight or obesity","Person/people with obesity",,"FALSE","whole_word","Patient; Obese/overweight person; Obese/overweight patient; Fat (unless in the context of body fat)","Kyle & Puhl, 2014","TRUE","7.0 (Jan 2024)"
"Obesity","International classification of overweight/obesity","Body mass index (BMI): • Healthy weight 18.5–24.9 kg/m2 • Overweight 25–29.9 kg/m2 • Obesity class I 30–34.9 kg/m2 • Obesity class II 35–39.9 kg/m2 • Obesity class III ≥40 kg/m2",,"FALSE","whole_word",,"Garvey et al, 2016; Yumuk et al, 2015","TRUE","7.0 (Jan 2024)"
"Obesity","GLP-1","Glucagon-like peptide-1 (GLP-1); A hormone of the incretin system, released in response to food intake; GLP-1 also acts as a neurotransmitter; Reduces energy intake through effects on the central nervous system; Increases satiety and reduces hunger in normal-weight subjects; Slows gastric emptying, which helps to regulate blood sugar levels","GLP-1","FALSE","whole_word",,"Muller et al, 2019; Oral semaglutide IB","TRUE","7.0 (Jan 2024)"
"Obesity","Pharmacological therapy","Obesity pharmacotherapy",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Obesity","Pharmacological therapy","Anti-obesity medication (AOM)","AOM","FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Obesity","Pharmacological therapy","Anti-obesity therapy",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Obesity","Pharmacological therapy","Weight-management medication",,"FALSE","whole_word","Weight-loss medication",,"TRUE","7.0 (Jan 2024)"
"Obesity","Obesity-related complications","Obesity is associated with multiple complications, affecting almost every organ system; Mechanical: impaired physical functioning, sleep apnoea, osteoarthritis, incontinence, chronic back pain; Metabolic: T2D, prediabetes, dyslipidaemia, MASLD, MASH; Cardiovascular: CVD, thrombosis, stroke, hypertension, coronary artery disease, congestive heart failure (HF), pulmonary embolism; Mental: depression, anxiety; Cancer: breast, colorectal, endometrial, oesophageal, kidney, ovarian, pancreatic, prostate; The term ‘cardiometabolic’ can be used to encompass cardiovascular and metabolic complications/risk factors; Use ‘complication’ for broad descriptions and ‘comorbidity’ if specifically describing indicated populations or trial data",,"FALSE","whole_word",,"Garvey et al, 2016; Scientific master Q&A for semaglutide 2.4 mg; Wharton et al, 2020; Yumuk et al, 2015","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Cardiovascular disease","Cardiovascular disease is a broad, general term that refers to all diseases of the cardiovascular (CV) system; Abbreviate to CVD (define in footnotes/on first mention)",,"TRUE","whole_word","CVD when specifically referring to atherosclerotic cardiovascular disease (ASCVD)",,"TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Atherosclerotic cardiovascular disease","Atherosclerotic cardiovascular disease is CVD caused by a build-up of arterial plaque; Abbreviate to ASCVD (define in footnotes/on first mention)",,"TRUE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Acute myocardial infarction","Acute myocardial infarction is caused by reduced blood flow and a subsequent lack of oxygen in the myocardium, often as a result of ASCVD; Abbreviate to AMI (define in footnotes/on first mention)",,"TRUE","whole_word",,"Mechanic et al, 2022","TRUE","7.0 (Jan 2024)"
